Year,Sem,,College,Dept,Num,Section,Instructor,Course Name,Course Level,Total # Students,# Responses,Response Rate,Hrs Per Week,Interest in student learning,Clearly explain course requirements,Clear learning objectives & goals,Instructor provides feedback to students to improve,Demonstrate importance of subject matter,Explains subject matter of course,Show respect for all students,Overall teaching rate,,Overall course rate
2019,Fall,, College of Fine Arts,ARC,48568,A,"KURLAND, KRISTEN",ADV CAD BIM 3D VISLZ,Undergraduate,26,14,53.8%,7.14,4.79,4.86,4.86,4.36,4.57,4.64,5.00,4.64,,4.71
2019,Fall,, College of Fine Arts,ARC,48630,A,"CUPKOVA, DANA",MARCH INTEG STUDIO I,Graduate,12,4,33.3%,23.00,5.00,4.50,4.50,5.00,5.00,5.00,5.00,5.00,,5.00
2019,Fall,, College of Fine Arts,ARC,48634,A,"GUTSCHOW, KAI",ARC THEORY M.ARCH,Graduate,13,4,30.8%,7.25,5.00,5.00,4.75,5.00,4.75,4.75,5.00,4.75,,4.75
2019,Fall,, College of Fine Arts,ARC,48635,1,"LOFTNESS, VIVIAN",ENVIRO I M.ARCH,Graduate,13,7,53.8%,9.29,4.43,5.00,4.71,4.71,4.71,4.57,5.00,4.57,,4.29
2019,Fall,, College of Fine Arts,ARC,48647,A,"DAMIANI, GERARD",MAT & ASSEMBL,Graduate,8,2,25.0%,9.50,4.50,4.00,5.00,4.50,4.50,4.50,5.00,4.50,,4.50
2019,Fall,, College of Fine Arts,ARC,48650,E,"HAYES, HAL",ASO MARCH I,Graduate,3,2,66.7%,27.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,5.00
2019,Fall,, College of Fine Arts,ARC,48655,A,"BAIRD, NINA",ENV II GRAD,Graduate,15,4,26.7%,10.25,4.75,4.00,4.25,4.25,4.50,4.25,4.25,4.25,,4.25
2019,Fall,, College of Fine Arts,ARC,48689,A1,"KIM, MAN",DIGI SKLLS WRKSHP,Graduate,14,8,57.1%,7.63,4.75,4.63,4.75,4.88,4.50,4.75,4.63,4.75,,4.38
2019,Fall,, College of Fine Arts,ARC,48705,A,"DANES, STEFANI",MUD STUDIO I,Graduate,4,4,100.0%,18.75,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,,5.00
2019,Fall,, College of Fine Arts,ARC,48707,A,"CARTER, DONALD",MUD GRADUATE SEMINAR,Graduate,4,4,100.0%,2.00,5.00,4.75,4.75,4.75,4.75,4.75,5.00,4.75,,4.75
2019,Fall,, College of Fine Arts,ARC,48714,A,"BYRNE, DARAGH",DATA ANL URBN DSNG,Graduate,8,8,100.0%,11.00,3.25,3.00,3.25,2.50,3.25,2.75,4.00,2.63,,2.63
2019,Fall,, College of Fine Arts,ARC,48716,A,"CARDOSO LLACH, DANIEL",MSCD PRE-THESIS II,Graduate,12,4,33.3%,8.75,4.25,4.00,4.50,4.50,4.50,4.50,4.50,4.50,,4.50
2019,Fall,, College of Fine Arts,ARC,48718,A,"GRUBER, STEFAN",MUD STUDIO III,Graduate,7,6,85.7%,19.00,4.33,4.00,3.67,4.17,4.17,4.50,3.50,4.33,,3.83
2019,Fall,, College of Fine Arts,ARC,48724,A2,"SAEED, NOREEN",SCRIPTING,Graduate,6,3,50.0%,9.00,4.67,4.00,4.00,4.33,3.67,4.00,4.67,4.00,,4.33
2019,Fall,, College of Fine Arts,ARC,48724,A2,"KRISHNAMURTI, RAMESH",SCRIPTING,Graduate,6,3,50.0%,9.00,4.67,4.67,4.67,4.67,4.50,4.67,4.67,4.67,,4.67
2019,Fall,, College of Fine Arts,ARC,48725,A,"VAVASIS, VALENTINA",REAL EST DSGN DVLPMT,Graduate,16,14,87.5%,8.43,4.93,4.86,4.93,5.00,4.93,4.79,4.93,5.00,,5.00
2019,Fall,, College of Fine Arts,ARC,48727,A,"CARDOSO LLACH, DANIEL",INQRY CD,Graduate,14,10,71.4%,11.70,4.20,3.90,4.30,3.70,4.20,3.90,4.40,4.00,,3.90
2019,Fall,, College of Fine Arts,ARC,48729,A,"LOFTNESS, VIVIAN",PROD HLTH QUAL BLDGS,Graduate,12,6,50.0%,8.50,4.67,4.50,4.50,4.67,4.50,4.67,5.00,4.50,,4.17
2019,Fall,, College of Fine Arts,ARC,48732,A,"CUPKOVA, DANA",SUSTAIN DSGN SYNTHES,Graduate,7,5,71.4%,21.80,4.80,4.40,4.60,4.60,4.80,3.80,4.80,4.20,,4.20
2019,Fall,, College of Fine Arts,ARC,48733,A,"KARAGUZEL, OMER",ENV PERF SIM,Graduate,8,5,62.5%,6.80,5.00,5.00,5.00,4.80,5.00,5.00,5.00,5.00,,5.00
2019,Fall,, College of Fine Arts,ARC,48734,A,"MARSICO, JAKOB",RCTV SP MD ARC,Graduate,19,7,36.8%,9.50,4.71,4.43,4.57,4.43,3.86,4.14,4.86,4.43,,4.43
2019,Fall,, College of Fine Arts,ARC,48739,A,"TOWNSEND, J.",MKG THNGS INTACTV GR,Graduate,5,4,80.0%,8.75,3.75,3.50,4.25,4.25,4.50,3.75,4.50,4.00,,4.25
2019,Fall,, College of Fine Arts,ARC,48745,A,"PERTIERRA, JOSE",DES FAB GRAD,Graduate,2,1,50.0%,5.00,3.00,2.00,2.00,2.00,2.00,3.00,1.00,2.00,,2.00
2019,Fall,, College of Fine Arts,ARC,48749,A,"CARDOSO LLACH, DANIEL",CD SPECIAL TOPICS,Graduate,4,3,75.0%,9.00,5.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,,5.00
2019,Fall,, College of Fine Arts,ARC,48750,A,"SHAW, DIANE",HIST URB DES,Graduate,7,5,71.4%,6.20,5.00,5.00,5.00,5.00,4.80,4.80,5.00,5.00,,5.00
